,word_guesses,first_pass,solution_words,solution
35,,[Vale più di un presidente] GI = Gi,Giuste;sostenzioni,Gi questa on sosta ON T abile
36,est;sistemati;tori,G est I sistemati LI A tori,Geste;sistemati,Geste sistemati
37,tori;pistole;stazione,S tori C A pistole FE stazione,Storica;pistolefesta,Storica pistolefesta
38,coperta;ratti,VA coperta NF ratti,Vacop;trattati,Vacop trattati
39,,BOC insenature di mare,Bocci;insenature;Bocci;insenature,
40,astri;catodi;nato,L astri catodi S E G nato,Lastricato;disegnato,Lastricato disegnato
41,,Spalmate di grasso,Sp;ammateria;grasso;Sp;ammateria;grasso,
42,,R I fiancheggiano il fiume,Rifinir;f;nodi,Rifini
43,pile;campi,S pile D IS campi,Spille;di;scampi,Spille di scampi
44,,Egalità possiamo confessi L P re SI salva,Egalità;pe;confessis,Egalità possiamo confessi L P re SI salva
45,,Cavaliere S T A Cavaliers somme,Cavaliere;stacavaliersomme;;p;en;nas;tapa;ness;omme;;p;en;nas;tapa;ness;omme,Cavaliere stacavaliersomme
46,,U N [Gli ascendenti del casato] L [Nota del diapason] DA [Treccia di agli] U R [Gli altari delle vestali],,
47,cuori;sollevamento,GON cuori SOS sollevamento,Goncuori;sollevamento,Goncuori sollevamento
48,,Apparizione fantastica,,Apparizione
49,,[Bella Licia della televisione] M [Nodi stradali] A G GI A [Forti quadrupedi],,Bella Licia Mini
50,,L agente dita A,La;gente;d;italiana;R;isola;m;osci;t;e;si;st;emi,La gente d'Italia
51,,[Attrici celebri] NTA [Quelli del parlamento non hanno foglie!] C I,Attri;cie;Stelle;NTAS,Attri cie
52,addini;sci;la;In;gioco;In;gioco,TR addini sci PA L la,Tre;addini;scipa;;Ris;scoppi;lizza;;Ris;scoppi;lizza,Tre addini scipa
53,,Abeille (api),,Api
54,Rose;Tosca;Ente,P Rose OT Tosca D Ente,Proseo;toscano;;R;i s;o l;vi;r i;s i;s i;onnite;;P;r i;s o l;l i t i,Proseo toscano
55,,ARCANI,,Arcani
56,,Uva Rubeo Sassi LEV,Uva;Rubeo;sa;sass;Levar,Uva Rubeo Sassi LEV = Uva Rubeo Sassi LEV
57,,"SI Oriente [È fatto per l'anulare] R [Ronzano come i mosconi] U A F [Audace, ardimentosa]",Siro;nte;un;un;audace;Siro;nte;un;un;audace;Siro;nte;un;un;audace;;Siro;nte;un;un;audace,Siro nte un un audace
58,,cantore P Porta LTI,Cantore;Porta,Cantore Porta
59,osso;erbe;ali,C osso erbe ali,Coso;sberbe,Coso sberbe
60,,CU PERSE,Cupers;Eros;e;sperare;sperare,CUPERSE
61,altare;lana;re,T altare lana D E re,Taltare;lanadere,Taltare lanadere
62,,Gara ND ventri tondeggianti NA attesa,Garan;garanata,Garan
63,su;sodo;petto,su DI sodo petto,Sudiso;Dopetto,Sudiso Dopetto
64,ovino;regina;olivo,D A lana,Lana;segue re;Lana;segue re;Lana;segue re;Lana;segue re;Lana;segue re;Lana;segue re,lana
65,Atene;metri;nastro,C Atene L L metri nastro TA,Catene;lamentri,Catene lamentri
66,ante;ape;ante,M ante LL ape S ante,Mantella;pesante,Mantella pesante
67,,"[Attore affermatissimo] RA [Il Brindisi della pittura] L [Quadri dipinti] C [Protuberanze ossee, anche ramificate] E",,
68,,CAPA,Capa;bbiabbi,Capa
69,,Dipi,,Dipi
70,,M A vasi raggi A T A,Mavasi;raggiata,Mavasi raggiata
71,,Rovina il raccolto,Sei sette;Sei sette,Rovina il raccolto = Rovina
72,cono;cima;ali,E cono MI cima N U ali,Economi;caminuali,Economi caminuali
73,,N U OVE NE RC,,Nuvem
74,frenatori;letto;lesioni,L frenatori VA letto M A lesioni,L;frenatori;letto,L frenatori letto
75,re;armeno;non fare,SP re C armeno,Sprecar;meno;;Riscoppi;andi,Sprecar meno
76,,,Fond;odele;lapiina,
77,,MA oriente leve del barcaiolo,Mano;teso,Mano teso
78,nonna;dinastia;tr;giornale,L nonna dinastia T tr O giornale,Lonnadina;tritore,Lonnadina tritore
79,arpe;rei;oleo;arpe;rei;oleo,STACCATI GALERA PP OLI,,Staccatigi
80,ellissoide;poesie;ante,B ellissoide M poesie A M ante,Bellissoide;mepione,Bellissoide mepione
81,,D O [Tutt'altro che allegri] = matti,Matti;con,matti con ammalato
82,coltello;comitato;ale,VIN coltello comitato U G ale,Vincoli;elettati,Vincoli elettati
83,,Cenere LA vinai F O N mordere,Cenere;lavinamo,Cenere
84,,BE Roma Moli CCI,Berenice;Moli,BE Roma Moli CCI = BE Roma Moli
85,,Accette scuri N S volano! D gighi,,Accette scuri N S volano! D gighi
86,,A L pista,Al;pista;alpista;Al;pista;alpista;Al;pista;alpista;Al;pista;alpista;Al;pista;alpista;Al;pista;alpista;Al;pista;alpista,Alpista
87,,[La celebre de' Tolomei] ZZE [Lo sono certe opere] NE,Lect;opere;Lect;opere;0;Lect;opere,Lect opere
88,oliera;alabarda;tappeto;stella;tappeto;stella,LI oliera G alabarda,Lio;lieragala;;R;I S;tap;peto;I st;ella;;R;I S;tap;peto;I st;ella,Lio lieragala
89,,Campanile Nesi,,Campanile Nesi
90,,A [In il] [Famoso quello di Venezia] RO,,A Lido RO
91,Pan;aureola;ala;busta,S Pan T aureola D ala B busta,Spanta;ureoladalabusta,Spanta ureoladalabusta
92,in;si;Varese,in si L Varese GI,Insilva;Resegi,Insilva Resegi
93,Erato;dee;Aretusa,P Erato N dee LEV Aretusa,Peratore;nelevar,Peratore nelevar
94,,D emigrano sciamando C si usano in cucina L altari di una volta A PP LON Africa,De;migrano;si;usano;in cucina;Lon Africa;De;migrano;si;usano;in cucina;Lon Africa;;De;migrano;si;usano;in cucina;Lon Africa;;De;migrano;si;usano;in cucina;Lon Africa;;De;migrano;si;usano;in cucina;Lon Africa;;De;migrano;si;usano;in cucina;Lon Africa,Démigrano sciamando C si usano in cucina L altari di una volta A PP LON Africa
95,,est R NE cuccioli,Estre;necuccioli,Estre necuccioli
96,api;si;once,C api T si L once,Capisci;lonce,Capisci lonce
97,vaso;re,S vaso SCU re,Svasos;Cucure,Svasos Cucure
98,,NAS malinconico,,Naso
99,porta;naso;uva,C porta naso A uva LE,Portantas;ouvale,Portantas ouvale
100,,CO PPO N DI SOMME CALTARI,,Coprondi somme caltari
101,,[L' Estonia] ER N [Strumento con molte corde] U [È di casa... a Corte],,Estonia
102,,Fuoriesce dal cratere CAN [Lo usa l'alpinista] CC I [Proverbialmente vi batte la lingua quando duole],F;uorisse;di;catenaccio,F uorisse di catenaccio
103,,"[È lungo quello della giraffa] Q UI [Dà volentieri da bere] R [Le ""raganelle baritono""]",Quivangano;Quivang;Quivangano;Quivang,Quivangano
104,,[L' ultimo papa Paolo] = santo,Santo;Gaspare,Santo Gaspare
105,smarrito;gigli;osa,smarrito N gigli OT T osa,Smarrit;ognigni,Smarrit ognigni
106,est;est;ali,L est RAD est A T ali,Le;stride;statali,Le stride statali
107,,Pista Natale,,Pista Natale
108,pelle;Petrarca,E S pelle Petrarca,Esper;lepterar,Esper lepterar
109,,SB unico,,Unico
110,,I prego cesti GRI,,I peggo cesti GRI
111,van;eia;numi,V I van eia numi D O,Vivan;e;animo,Vivan e animo
112,,accia P podista TU amfisti R cisterna NA,Accia;Pp;odista;tu;amfistiricisterna,Accia Pp odista tu amfistiricisterna
113,,Spalmato di grasso,Sp;amato;di grasso,Spamato di grasso
114,Medina;trattore;lato,Medina S trattore lato RE,Medinastra;Torello,Medinastra Torello
115,Porta;ripida;setter;setter;setter;setter,Porta NG ripida NTO,Portano;ripido;;Setter;setter;;Setter;setter,Portano ripido
116,,Olio Ici Luna Luna L Pista,,Olio Ici Luna Luna L Pista
117,,[Quelle dipinte si incornicano] = tele,Televisione;italiana,Televisione italiana
118,venti;piena,E venti piena LA,Eventi;pe;ina,Eventi pe ina
119,due;bebetici;ami,B due bebetici E TN ami T A,Budebe;ticienti,Budebe ticienti
120,pera;aria,O pera MUR aria,Opera;muraria,Opera muraria
121,,[C'è quella di beneficenza] = missione,Missione;Missione;Missione;Missione;Missione,
122,,D I S le dimenano i cani Non ci sentono,Disle;d;menano;Disle;d;menano;;Disle;d;menano;;Disle;d;menano;;Disle;d;menano,Disle dimenano i cani Non ci sentono
123,amo;solido,F amo solido,Famoso;lido;;Risolv;ita;;Chistam;ette,Famoso lido
124,,SFR curva,,SFR curva
125,,UTO,,Ut
126,,Clamor,,Clamor
127,,[Le firme... degli analfabeti] E [Gli ortaggi... anemici] R [Ampie stanze di rappresentanza] C CO,,
128,ciuffo;baba;anestetico,C ciuffo L baba BR anestetico,Cciuffo;Lababarabane,Cciuffo Lababarabane
129,unico;coda,F unico C coda,Funi;coccoda,Funi coccoda
130,,GIORAC,,Giòra
131,zip;Remo;est,C zip Remo D est O,Czipper;modesto,Czipper modesto
132,est;Ares;sarissa,R est Ares PI sarissa TI,Restare;spiassati,Restare spiassati
133,,Pare Natale Natale,Natale,Pare Natale Natale = Natale
134,la;ostia;bel,,Latenza;ostialbe,Latenza ostialbe
135,,CUO PESCA NERO NN RATI,Cinque;CUO;PESCA;N;ERONN;RATI;Cinque;Cin;Un;';Eroonn;Rati,CUO PESCA NERO NN RATI = CUO PESCA NERO NN RATI
136,,scafo DI si TA,Scaf;od;isita,Scaf od isita
137,sette;do;con;do,N O N sette do con do,Noset;tedocondo,Noset tedocondo
138,,C A lamica,,Calamica
139,nari;citato;schiere,U nari US citato schiere E,Una;riuscita;teschiera,Una riuscita teschiera
140,,Orlando,Or;lando;londone,Orlando
141,,U N I P I A,Un;ipianes;pian;Un;ipianes;pian;Un;ipianes;pian;Un;ipianes;pian;Un;ipianes;pian;Un;ipianes;pian,Unipia
142,re;orata;pile,re G orata S T I pile,Regor;atastipile,Regor atastipile
143,,AS Dirazione,,Direzione
144,,Bazan B illegale T sporti comici D apostoli C O,Ba;zanbilegale;sportici,Bazan B illegale T sporti comici D apostoli C O
145,collo;reti,UTI collo F F reti,Utico;lolfreti,Utico lolfreti
146,ambo;petti;cani,B ambo petti C cani CA,Bambop;titicacanica;;R;i;s;o;l;vi;risi;stitere;riti,Bambop titicacanica
147,allegro;carta;porta;belli,ST allegro carta porta GE belli CI,Stallegro;cartaporta;bellici,Stallegro cartaporta bellici
148,fonico;ago;amo;tana,Procedi fonico D ago L amo N tana,Procedi;fonico;daglama,Procedi fonico daglama
149,Ivrea;cibi;tosca,P Ivrea cibi UT tosca RSA,Pivreacibi;toscarsa,Pivreacibi toscarsa
150,,CA Misericordia D U,Cami;ricordia,CAMI
151,Bach;cane;Ctesibio;medico;toy;cane,Bach E cane RA,Bacheca;nera;;Ctesibio;emedico;;toyecane;rarea,Bacheca nera
152,,testamento rado TT U bar,Testamento;Radottu;;E;N;I;G;M;A;N;G;I;M;A;G;;P;I;G;N;O;L;O;P;I;G;N;O,Testamento Radottu
153,,O sardine G -iamo,Osar;di;negare,Osar di negare
154,aliti;decalitro;bere,F aliti decalitro bere L LI,Faliti;d;ecalitrober,Faliti d'ecalitrober
155,,Fumava per devozione il putto arciere,,Fumava per devozione il putto arciere
156,,[Corre volentieri sguinzagliato] S TR [Poesie care al Carducci] VI [Vuole... belle gambe],Correre;vol;enti,Correre vol enti
157,,S C si battoni N A T pesca lapinza NG scafo SCA,Sciacca;sciacquear,Sciacquare
158,,S A Celebri quelle di Toledo Tassinari CE N,Sacce;lebriquel,Sacelebri quelle di Toledo Tassinari CE N
159,,su O nidi V I oli NI,,
160,,U Naccia Furono sconfitti da Ciro il Vecchio non mancano in chiesa A,Due,Unaccia
161,dopo;atto;pio,dopo V I D atto L pio O,Dopovidato;L'pio,Dopovidato L'pio
162,pedale;cima;ante,A pedale cima G N ante,Pedale;cimangnante,Pedale cimangnante
163,ali;nera;giavellotti,M ali G nera G giavellotti,Maligne;ragni,Maligne ragni
164,,R I [Ruotano sui cardini] = piviali,Piviali;l;avincere,Piviali l'avincere
165,conte;gelosia;avi,S conte gelosia T avi T A,Scendere;lisia;;R;i;so;di;si;onne;;R;i;so;di;si;onne,Scendere lisia
166,,"[La traduzione di ""cum""] T [Collaborava col negus] [Più che sufficienti] U [Li sconfisse il Cid]",Con T iani;Ci,Con T iani Ci<|end|><|endoftext|>
167,vene;lira;giavellotti,S vene VO lira G giavellotti,Svenevoli;raggiavell,Svenevoli raggiavell
168,iuta;asce;colini,F iuta R asce R I colini,Fiutare;asciocolini,Fiutare asciocolini
169,,Amici e parenti,Amici;epar;italiano,Amici e parenti
170,,I N soldati da trincea assomiglia al coniglio T un cardinale sulla bussola O,Insoldati;da trincea;Insoldati;da trincea,I N soldati da trincea assomiglia al coniglio T un cardinale sulla bussola O = In soldati da trincea assomiglia al coniglio T un cardinale sulla bussola O
171,fieno;sano;disco,fieno sano disco,F;Ienosa;Nodisco,F'Ienosa Nodisco
172,usa;re;fango;usa;re;fango;usa;re;fango,BL usa re fango TA,Blusa;refangosta;;Blusa;refangosta;;Blusa;refangosta,Blusa refangosta
173,,C osteo re CK,Coste;o;reck;0;R;i;s;il;il;0;C;a;s;s;s;i;l;il,Coste o reck
174,,Mano puledri S T in Cina TO,Manopoli;d;ristorante;Manopoli;d;ristorante;Compagnia;d;assicurazione;;Compagnia;d;assicurazione,Mano puledri S T in Cina TO = Mano puledri S T in Cina TO
175,seria;once;si;si;si;si,ES seria B B I once,Essera;bbiocce;;Risco;piandisi;;Risco;piandisi,Essera bbiocce
176,api;fiasco;cupola,C api fiasco P cupola SI,Capi fiasco;picupolasi,Capi fiasco picupolasi
177,,GRANACI,,Granaci
178,,Neri Letti,,Neri Letti
179,Do;Eco;raggio;azzurro;rosso;verde;azzurro;rosso;verde,Do N N Eco raggio SE,Donne;coreaggio;A;zz;ur;non;nero;sso;verde;sese;A;zz;ur;non;nero;sso;verde;sese,Donne coreaggio
180,Pan;con;Elena,Pan I con N B Elena,Panico;ne;belena,Panico ne belena
181,Paganini;re,S Paganini PI C re,Spag;Nini Picre,Spag Nini Picre
182,,E L baba fiabesco B strada faticosa ARE un vizio capitale Possono essere confessi D E S recipienti per il mosto Uomini sull'Olimpo P O Ne ha due la pila,E;l;bababa;f;iabesco;B;strada;fa;taticosa;E;l;bababa;f;iabesco;B;strada;fa;taticosa;;E,Elba baba fiabesco B strada faticosa ARE un vizio capitale Possono essere confessi D E S recipienti per il mosto Uomini sull'Olimpo P O Ne ha due la pila
183,ispide,CO R CENTI,,Corcenti
184,preti;Adamo;raggio,S preti F Adamo raggio SI,Spettif;adomoraggi,Spettif adomoraggi
185,,[Insieme] = con,Consiasi;sartraffaele,Consiasi sartraffaele<|end|><|endoftext|>
186,,,D;enti;nostradamus;in;e;matti;in;cugini;D;enti;nostradamus;in;e;matti;in;cugini,
187,,[Star] RI [Il nome di Wilde] SO,Starr;Ioscar,Starr Ioscar<|end|><|endoftext|>
188,ava;lima;lenti,C ava L lima C I lenti,Cavall;limacilenti,Cavall limacilenti
189,,FU punto basta IE scorsoio LI Venere,Fu;punto;b;asta;Iesco;Fu;punto;b;asta;Iesco;;Fu;punto;b;asta;Iesco;;Fu;punto;b;asta;Iesco;;Fu;punto;b;asta;Iesco;;Fu;punto;b;asta;Iesco;;Fu;punto;b;asta;Ies,FU punto basta IE scorsoio LI Venere
190,,NO SCARROCCIA DEVÍA G R AFIANCI,Nos;scarro;ciadevi;ag;fian,Noscarrocchia
191,star;Matteo;cocci,In star DU Matteo PI R cocci,Instardu;matteopi,Instardu matteopi
192,,Fare T uncini SE LT,Fa;rete;uncini;set;let;Fa;rete;uncini;set;let;;Fa;rete;uncini;set;let;;Fa;rete;uncini;set;let;;Fa;rete;uncini;set;let;;Fa;rete;uncini;set;let;;Fa;rete;uncini;set;let;;Fa;rete,Fare T uncini SE LT = Fare T uncini SE LT
193,,pista,Pistai;viestici,pista
194,,Moto S A,,Motoscafo militare
195,facile;ali,Quo facile C I ali,Quo fa;ciliegi,Quo fa ciliegi
196,gabbia;sveglia;somme,VA gabbia L sveglia GA somme,Vagab;alsveglia,Vagab alsveglia
197,,AT,Atletica;RS;Sistemi;Atletica;RS;Sistemi,Atletica RS Sistemi
198,,A Milano [Sono d'alta tensione fra i tralicci] R T Ghetta,Amilo;santi,A Milano sono d'alta tensione fra i tralicci R T Ghetta
199,,AGama N come dentro DO,Agam;ama;nata;Agam;ama;nata;Agam;ama;nata;Agam;am,Agama
200,,L A pista Li,L'albero;sotto;pesa;L'albero;sotto;pesa,L'albero
201,,[Combinazioni per dieci ruote] EN T [Giunone per i Greci] FFI [Sbocciato alla vita],Cicloide;Entatafﬁ,Cicloide EN T Atena FFI
202,,AF Auber N C altari sacrificali SP S S,,Auber N C altari sacrificali SP S S = Auber N C altari sacrificali SP S S
203,sotto;mare;profondo,RI sotto mare profondo,Risotto;ma;profondo,Risotto ma profondo
204,,fa coda SI petto BAS tricheco STA rete I,Facodasi;pettobastriche;ci;starete;iete,Facodasi pettobastriche ci starete iete
205,attore;prossimo,attore GIS prossimo T O,Atto;registrato,Atto registrato
206,,Tavola N S Palmipedi F A Pavimenti,Tavola;NSP;al;pavedi<|end|><|endoftext|>,Tavola N S Palmipedi F A Pavimenti
207,,in C cartomante RO,Incarto;manifesto;0;Checcartomante;roso;0;Checcartomante;roso,Incarto manifesto
208,,Natale NO,,Natale NO
209,,Sotto,,Sotto
210,,[Fino al centro] = fino,,= fino tiro RI
211,lisca;nati,FOL lisca T E nati,Folli;scatenati,Folli scatenati
212,,CO M Medi ali NA,Commedia;liana;;Commedia;liana;;Commedia;liana,Commedia liana
213,asce;lama;sci,V asce L lama L GA sci,Vascella;malgasci,Vascella malgasci
214,,si G NO cervo S tenda,Signora;c;eroista,Signora c'eroista
215,,Amici e parenti CO cubetti che si tirano per gioco,Amici;e;parenti;Amici;e;parenti,Amici e parenti CO cubetti che si tirano per gioco = Amici e parenti CO cubetti che si tirano per gioco
216,eseguiti;tir;galli,Rot eseguiti G tir galli E,Rotte;eseguigittali,Rotte eseguigittali
217,,la mente la spesa,Lamento;spesa;L;ame;nte;la;spesa,Lamento
218,,Naviglio (Fa dondolare la barca) Poggia (sull'acqua) L E (Gabbia bassa e larga),Nav;igo;ligerante,Navi
219,Don;acero,Don M acero RMA,Don Macer;Orma,Don Macer Orma
220,Sole;Ci;Misericordi,I Sole Ci Misericordi,Isole;Cicimiser,Isole Cicimiser
221,,mina TOL Rossi C A,Mi;Natale;Rossi;M;Inatale;Rossi;M;Inatale;Rossi,Mi Natale Rossi
222,,"V I [Ce ne sono due in aereo] [Un""breve"" giorno] [Insetto noioso]",,
223,,C H Avi,Cavità;vi;usapol;Cavità;vi;usapol,Cavità
224,,[Il saluto a... Caesar] R [Lo sono le intenzioni pià velleitarie] [Il figlio del figlio] RI,,
225,brocca;di;Iva,,Broccato;di;Ivao,Broccato di Ivao
226,,"Artù lo era della "" tavola rotonda""",Artù;Neri,Artù Neri<|end|><|endoftext|>
227,,CHE [Hanno scaglie legnose] = pini,Pini;catt;i;belune,Pini cattivi belune
228,anitra;uve;anitra;uve;anitra;uve;anitra;uve,LA anitra V uve,Lana;trauvule;R;I S;COPP;Anitra;R;I S;COPP;Anitra,Lana trauvule
229,formazione;circo;mani,,un;formazione;circomania,Un formazione circomania
230,sesti;osa;cima;Chianti;Chianti;Chianti;Chianti,TO S sesti ZZ osa,Tosse;stizzosa;;R;I S;C O P;P A N;T A R;I S I M A;Chianti;;C;O N;C I O;N T A N;T A R;I S I M A;Chianti,Tosse stizzosa
231,orti;Ero;corna,P orti ER Ero corna STA,Portiere;rocornata,Portiere rocornata
232,,,T;Leandre;Pini Tmento,T Leandre Pini Tmento<|end|><|endoftext|>
233,,,E;coppieti;l;ossa;v;er;meista;casta,
234,,RA Cante LB Amore E Coca Cola RE,Rac;ante;lamore;ecologare,RacanTELB Amore E Coca Cola RE
235,,SC stereo,,Stereo
236,collo;acro;aiutare;aiutare,LA collo S S acro,Lacollo;Ssacro;;R;I S;C O P;P I A N;D I A;aiutare;;C;A P P;I A N;D I A;aiutare,Lacollo Ssacro
237,,Unti C appello NI E spazio di mare riparato MA,Un;ticchio;linie;';parati;Un;ticchio;linie;';parati;Un;Un;Un;Un;Un;Un;Un;Un;Un,Unti
238,,O pere IM ananas TU re,Opere;imananasture,Opere imananasture
239,,preci,,preci
240,are;sombre;tino,P are N sombre ES tino,Parese;morgestino,Parese morgestino
241,coda;bari;cappa;piuma,Un coda B bari O cappa N piuma,Un;codabbario;capapia,Un codabbario capapia
242,api;navi;lana,Un api RSO navi L lana,Una;pirosa;villana,Una pirosa villana
243,re;Iside;agli,P re C Iside TT agli,Precisi;dettagli,Precisi dettagli
244,,Nicoletti Pipa Lina,Nico;lettipila,Nicoletti Pipa Lina
245,ago;polo,G ago polo NI,Gag;opoloni,Gag opoloni
246,,P bocca monna TTA,Poccam;onnattà,Poccam onnattà
247,maglia;anima;pera,maglia Z Z anima pera RE,Maglia;ZZA;Niparare,Maglia ZZA' Niparare
248,,[La nota di Sodoma...] L = sodio,Sodio;lisalise;me;sletto,sodio l isola ME S letto M ante
249,scogli;rei;ore,scogli L A rei N G ore,Scoglila;Reingo,Scoglila Reingo
250,,CO siano la bellezza delle farfalle,Cosiano;la bella,Cosiano la bella
251,,COPA,Copa;c;copaio;c;copaio;Copa;c;copaio;c;copaio;Copa;c;copaio;c;copaio;Copa;c;copaio;c;copaio,COPA
252,Antica;caviale,S Antica C caviale,Santi;cacaviale,Santi cacaviale
253,mi;vasi,FO R mi vasi O N E,Formi;va;siano,Formi va siano
254,,Cineviola NNA mosto affrontano T A,Cineviola;NN;A;Mato,Cineviola NNA mosto affrontano T A
255,,VEC Cappo,,VEC Cappo = VEC
256,,,Bel;Gira;c;Armata,Bel Gira c'Armata
257,,Al,,Al
258,,verso F I C Adone,Vero;sfacciadone;;V;er;so;fa;ci;cad;one;;V;er;so;fa;ci;cad;one;;V;er;so;fa,Vero sfacciadone
259,,ST R API,Strap;apiati;Strap;apiati,Strapapi
260,cima;tini;re,VO cima T tini E re,Voci;matinier,Voci matinier
261,,[Animali feroci] L O [È stato un notissimo quartetto vocale] [Il dio del vino] LO,Lupi;Lopoli;Quattroora,Lupi L O I quattro Ora LO
262,Cola;esca;nate,S Cola R esca T E nate,Scolare;scatenate,Scolare scatenate
263,rose;ricerca;ravanello,rose S T ricerca R G H ravanello,Rossetti;cercargh,Rossetti cercargh
264,Eva;Renoir;Ares,B Eva N Renoir S Ares,Bevan;Renoirs,Bevan Renoirs
265,,"STR, trine in tre",Stripe;in;tasca,Strine
266,,Bari,,Bari
267,,APrile,,Aprile
268,mese;sci;cola;cola;cola,L mese sci R cola R I,Lime;scialacca;;R;ISC;O;P;P;I;A;N;Z;A;C;O;L;A;R;I;;R;ISC;O;P;P;I;A;N;Z;A,Lime scialacca
269,,L' inizio dell' inverno,Inizio;l;vasi,Inizio l' vasi
270,mani;Po;lato,mani Po lato,Mani;po;lato,Mani po lato
271,,"[Padre di figlio padre] T A [Francesco, letterato aretino] [Se ne scrivono sciolti] TA",Pad;eredi;padre,Padre di figlio padre T A
272,dadi;natale,C O dadi ME natale,Coda;dimenatale,Coda dimenatale
273,,TRI sala,Trisala;Cancan;Cancan;Cancan,
274,,C Sinatra SAN 24,Cina;trascana;;R;I S;o s i s;t a n t e r e;;C;A R;a s i s;t a n t e r e,Cina trascana
275,Cristo;si;eco,Cristo si svolge a scuola,Ci;sto;steso,Cristo si svolge a scuola
276,salumi;lana;ali,salumi CO lana T ali ZI A,Salumico;lanaziale,Salumico lanaziale
277,,[L'asso lo è delle folle] R [Piccola raganella] C [La dea più potente] NO,L;asso;dei;L;asso;dei,L'asso lo è delle folle
278,,[Si alterna alla notte] = di,,di bronzo N
279,sistemare;Ticino;Como,Un sistemare S Ticino Como DO,Un;sistemare;sticino;Un;sistemare;sticino;Un;sistemare;sticino;Un;sistemare;sticino;Un;sistemare;sticino,Un sistemare sticino
280,,"Artù lo era della "" tavola rotonda""",,Artù
281,sacra;arco;come,sacra N T arco come R I,Sacran;Tarcocome,Sacran Tarcocome
282,Creta;regole;spina,Creta ST regole DI spina LI,Creta;Stregole,Creta Stregole
283,,Pane (Produce more) = pane,Panecart;marmensomme,Panecart marmensomme<|end|><|endoftext|>
284,rive;barili,SO B rive STI barili,Sobri;vestibili,Sobri vestibili
285,,Pregano di alzare la voce,,Pregano
