,idx,first_pass,solution_words,solution
40,40,CON dotta viole NTA,Condotta;violenta,Condotta violenta
41,41,in collare mani F est I,Incollare;manifesti,Incollare manifesti
42,42,in CI si va per O razione,Incisiva;perorazione,Incisiva perorazione
43,43,scia la re sol doni,Scialare;soldoni,Scialare soldoni
44,44,gin OB rami E R I,Gino;Bramieri,Gino Bramieri
45,45,fra secondi versi E R R ori,Frase;con;diversi;errori,Frase con diversi errori
46,46,L acini caviglia CCA,La;cinica;vigliacca,La cinica vigliacca
47,47,F ossa top RO fon DO,Fossato;profondo,Fossato profondo
48,48,Cam PI colt I VA tiara V anelli,Campi;coltivati;a;ravanelli,Campi coltivati a ravanelli
49,49,MA re ala G U N are,Marea;lagunare,Marea lagunare
50,50,UN testa mento CON testa TO D agli E redi,Un;testamento;contestato;dagli;eredi,Un testamento contestato dagli eredi
51,51,VO larve R somari L ontani,Volar;verso;mari;lontani,Volar verso mari lontani
52,52,F amo sai C O nave nera TA,Famosa;icona;venerata,Famosa icona venerata
53,53,lenti G gin O S Omar M occhio,Lentigginoso;marmocchio,Lentigginoso marmocchio
54,54,AR tir O maniche,Arti;romaniche,Arti romaniche
55,55,S cola R anelli M B arazzo,Scolara;nell;imbarazzo,Scolara nell'imbarazzo
56,56,re tea tram aglio,Rete;a;tramaglio,Rete a tramaglio
57,57,SO spettatore CI divo,Sospettato;recidivo,Sospettato recidivo
58,58,C est I conca lama RI,Cesti;con;calamari,Cesti con calamari
59,59,prese R V Arese G reti,Preservare;segreti,Preservare segreti
60,60,avo L teca PI T adipe C C are,A;volte;capita;di;peccare,A volte capita di peccare
61,61,CA lama rettile SSI,Calamarettil;essi,Calamarettil essi
62,62,S P unti P E rosse R va zio NI,Spunti;per;osservazioni,Spunti per osservazioni
63,63,GE nero sodo N AT ore,Generoso;donatore,Generoso donatore
64,64,G rande A more E terno,Grande;amore;eterno,Grande amore eterno
65,65,zucche R O agrumi,Zucchero;a;grumi,Zucchero a grumi
66,66,isola torero busto,Isolatore;robusto,Isolatore robusto
67,67,facce NDA dadi SB riga RE,Faccenda;da;disbrigare,Faccenda da disbrigare
68,68,vinile GG erme N teli QU oro SI,Vini;leggermente;liquorosi,Vini leggermente liquorosi
69,69,U nome T tori DI colo,Un;ometto;ridicolo,Un ometto ridicolo
70,70,faretra P EL arco dardi A,Fare;trapezar;codardia,Fare trapezar codardia
71,71,V astori T rovo,Vasto;ritrovo,Vasto ritrovo
72,72,AR Mida mazzo NI,Armi;d;amazoni,Armi d'amazoni
73,73,sci O C cote P pista,Sciocco;teppista,Sciocco teppista
74,74,do T T ore tre VI Giano,Dottore;trevigiano,Dottore trevigiano
75,75,danno SI E venti,Dannosi;eventi,Dannosi eventi
76,76,I L mira colo E cono MI COI Talia nodo GGI,Il;miracolo;economico;italiana;n;oggi,Il miracolo economico italiana n'oggi
77,77,ave rei dee ori gin ali,Avere;idee;originali,Avere idee originali
78,78,R api doc O M mento,Rapido;commento,Rapido commento
79,79,musi C I S tino R dame R I cani,Musicisti;nordamericani,Musicisti nordamericani
80,80,SA pera S colt A ree orma IU navi R T U R ara,Saper;ascoltare;è;ormai;una;virtù;rara,Saper ascoltare è ormai una virtù rara
81,81,CA osso Ci ali,Caos;sociali,Caos sociali
82,82,Pi star do L Ande SE,Pistard;olandese,Pistard olandese
83,83,coni O dirupi E,Conio;di;rupee,Conio di rupee
84,84,SCI albatro va TA,Scialba;trovata,Scialba trovata
85,85,T avola D Asti Roma L F erma,Tavola;da;stiro;malfarma,Tavola da stiro malfarma
86,86,GE neri cori CH I amo,Generico;richiamo,Generico richiamo
87,87,UR lacci con fusi,Urlacci;confusi,Urlacci confusi
88,88,DE cenni fa,Decenni;fa,Decenni fa
89,89,O pera rea S Senna T A mente,Operare;assennatamente,Operare assennatamente
90,90,tra F I letti in C orsi VO,Trafiletti;in;corsivo,Trafiletti in corsivo
91,91,CU sci N odi la NA,Cuscino;di;lana,Cuscino di lana
92,92,amo R E perle terni T A,Amore;per;l;eternità,Amore per l'eternità
93,93,casa C casco L ori T A,Casacca;scolorita,Casacca scolorita
94,94,rima N eredi S tacca TI,Rimanere;distaccati,Rimanere distaccati
95,95,mici Di A lega RA,Micidiale;gara,Micidiale gara
96,96,viole N T A fili P pica,Violenta;filippica,Violenta filippica
97,97,TR esca N ZO nati colle G I ali,Tre;scansonati;collegiali,Tre scansonati collegiali
98,98,su O rete RZI ari E,Suore;terziarie,Suore terziarie
99,99,DI vela sci V E,Dive;lascive,Dive lascive
100,100,A moro sazi A,Amorosa;zia,Amorosa zia
101,101,UO moda F fari,Uomo;d;affari,Uomo d'affari
102,102,U N viole N T O tre more,Un;violento;tremore,Un violento tremore
103,103,asse GN are R U oli tea T R ali,Assegnare;ruoli;teatrali,Assegnare ruoli teatrali
104,104,lancia D EL fagotto,L;Anica;del;Fagotto,L'Anica del Fagotto
105,105,nonne V Oglio S A pere,Non;ne;voglio;sapere,Non ne voglio sapere
106,106,U navi Sion EU topi CA,Una;visione;utopica,Una visione utopica
107,107,L astori adipi N occhio DI collo DI,La;storia;di;Pinocchio;di;Collodi,"La storia di Pinocchio, di Collodi"
108,108,C rea rea M O rose tram E,Creare;amorose;trame,Creare amorose trame
109,109,C orse F orse N nate,Corse;forsennate,Corse forsennate
110,110,MO strade S erta,Mostra;deserta,Mostra deserta
111,111,C orso alce NT roditori NO,Corso;al;centro;di;Torino,Corso al centro di Torino
112,112,in N E scarpe santi R I volte,Innescar;pesanti;rivolte,Innescar pesanti rivolte
113,113,sedia M ori A V remo,Se;diamo;riamo,Se diamo riamo
114,114,TE melone ST agente L Edison ES tea zio NI,Teme;l;onesta;gente;li;disoneste;azioni,Teme l'onesta gente li disoneste azioni
115,115,A verde LCA risma,Aver;del;carisma,Aver del carisma
116,116,COL Lauda rei M pia NTI,Collaudare;impianti,Collaudare impianti
117,117,Colombia RR osti T I,Colombi;arrostiti,Colombi arrostiti
118,118,G est Iran C O rosi,Gesti;rancorosi,Gesti rancorosi
119,119,NOT aroma N Z ave R Diana,Nota;romanza;verdiana,Nota romanza verdiana
120,120,SA lame tre V I Giano,Salame;trevigiano,Salame trevigiano
121,121,con fez IO nidi P astaco RTA,Confezioni;di;pasta;corta,Confezioni di pasta corta
122,122,golfo RT uno SO,Gol;fortunoso,Gol fortunoso
123,123,COM porta mento IR re P re NS IB ile,Comportamento;irreprensibile,Comportamento irreprensibile
124,124,P ossi denti SI N gale SI,Possidenti;singalesi,Possidenti singalesi
125,125,do L Cipro DO T tino S TR ali,Dolci;prodotti;nostrali,Dolci prodotti nostrali
126,126,fa LL odi N vasi ON E,Fallo;d;invasione,Fallo d'invasione
127,127,su DA tir ISP armi,Sudati;risparmi,Sudati risparmi
128,128,tris TE MO mento disco N F orto,Triste;momento;di;sconforto,Triste momento di sconforto
129,129,U milione stia T tacchi NI,Umili;onesti;attacchini,"Umili, onesti attacchini"
130,130,F arco mesi DES ID Era,Far;come;si;desidera,Far come si desidera
131,131,A pere gin A,Ape;regina,Ape regina
132,132,M ora listino TI,Moralisti;noti,Moralisti noti
133,133,I M bar azza N tesi T U azione,Imbarazzante;situazione,Imbarazzante situazione
134,134,E Sila RAN tino TI zie,Esilaranti;notizie,Esilaranti notizie
135,135,IN si NUA re sol O fa L si TA,Insinuare;solo;falsità,Insinuare solo falsità
136,136,CAL mano T tede sta TE,Calma;notte;d;estate,Calma notte d'estate
137,137,U nere dita P E S ante,Un;eredità;pesante,Un'eredità pesante
138,138,carnet E nera DI FA Giano,Carne;tenera;di;fagiano,Carne tenera di fagiano
139,139,R E gole mi L I T ari F ER ree,Regole;militari;ferree,Regole militari ferree
140,140,BRA nido per A,Brani;d;opera,Brani d'opera
141,141,LIN dama N tellina,Linda;mantellina,Linda mantellina
142,142,A bus odi C A L manti,Abuso;di;calmanti,Abuso di calmanti
143,143,GU star E ali cima R I nate,Gustare;Alici;marinate,Gustare Alici marinate
144,144,L auto R E dei L C api T ale,L;autore;di;LC;capitale,L'autore di LC capitale
145,145,va L I D ore GI sta,Valido;regista,Valido regista
146,146,M ari N ami LIT are,Marina;militare,Marina militare
147,147,coll'Era SC Atena TA,Collera;scatenata,Collera scatenata
148,148,S bar CO inno R man di A,Sbarco;in;Normandia,Sbarco in Normandia
149,149,L Eva NT Erie F anno S ali rea G AL laidi F etti,Le;vanterie;fanno;salire;a;galla;i;difetti,Le vanterie fanno salire a galla i difetti
150,150,PRO posta A R dita,Proposta;ardita,Proposta ardita
151,151,S tra T odorose di menta RIO,Strato;d;oro;sedimentario,Strato d'oro sedimentario
152,152,Fo RU magra RI,Forum;agrari,Forum agrari
153,153,trattore G O lare,Tratto;regolare,Tratto regolare
154,154,lama nodo pera costa,La;manodopera;costa,La manodopera costa
155,155,TE stadio DA lisca,Testa;di;odalisca,Testa di odalisca
156,156,C anca nera SPA,Cancan;e;Raspa,Cancan e Raspa
157,157,RI Po soma T TU tino,Riposo;mattutino,Riposo mattutino
158,158,VI lepre tende N T E,Vile;pretendente,Vile pretendente
159,159,B Ande CRI mi N ali,Bande;criminali,Bande criminali
160,160,VE la tomo R mori O,Velato;mormorio,Velato mormorio
161,161,T reo redi S V ago,Tre;ore;di;svago,Tre ore di svago
162,162,arti stiva lenti,Artisti;valenti,Artisti valenti
163,163,U N avi T are gola TA,Una;vita;regolata,Una vita regolata
164,164,F armo S sette,Far;mossette,Far mossette
165,165,A re eco L L I nari,Aree;collinari,Aree collinari
166,166,cernie R Adamo N T are,Cerniera;da;montare,Cerniera da montare
167,167,V ali doge N Era LE,Valido;generale,Valido generale
168,168,S osti EN epe rei RA,Sostiene;Pereira,Sostiene Pereira
169,169,C re M adipe pero NI,Crema;di;peperoni,Crema di peperoni
170,170,arti G I anitra pane SI,Artigiani;trapanesi,Artigiani trapanesi
171,171,AS sola T ICA panni,Assolati;capanni,Assolati capanni
172,172,Po P OL ode CA dente,Popolo;decadente,Popolo decadente
173,173,su S SI Diogene roso da topo M posa mente,Sussidio;generoso;dato;posamente,Sussidio generoso dato posamente
174,174,AF fa tic A mento MU scolare,Affaticamento;muscolare,Affaticamento muscolare
175,175,RI vela remo D E stia,Rivelare;modestia,Rivelare modestia
176,176,PO verone G retto,Povero;negretto,Povero negretto
177,177,S cavia date N E,Scavi;ad;Atene,Scavi ad Atene
178,178,PAC coda mare TTI,Pacco;d;amaretti,Pacco d'amaretti
179,179,E mine N tele GIS latore,Eminente;legislatore,Eminente legislatore
180,180,DO L cetre MO L ante,Dolce;tremolante,Dolce tremolante
181,181,DI Capri odi V ode L MO mento,Di;caprio;divo;del;momento,Di caprio divo del momento
182,182,su pera R E cono N ore lesa ME,Superare;con;onore;l;esame,Superare con onore l'esame
183,183,D ottico M menti,Dotti;commenti,Dotti commenti
184,184,cava L Liala TI,Cavalli;alati,Cavalli alati
185,185,tre mantidi R A,Tremanti;d;ira,Tremanti d'ira
186,186,F Ares tra dei S O L Ate,Fare;strade;isolate,Fare strade isolate
187,187,G ramo LE amo L azza,Gramole;a;molazza,Gramole a molazza
188,188,L avi TT ori AC erta,La;vittoria;certa,La vittoria certa
189,189,in T ossi C A zio N E ali menta RE,Intossicazione;alimentare,Intossicazione alimentare
190,190,L avo ripa R lame N T ari,Lavori;parlamentari,Lavori parlamentari
191,191,S G usci are F A G I oli,Sgusciare;fagioli,Sgusciare fagioli
192,192,PI aceri corda RE L ali E.t. A Giove NTU,Piace;ricordare;la;lieta;gioventù,Piace ricordare la lieta gioventù
193,193,V iene P rima CI oche mais I S pera,Viene;prima;ciò;che;mai;si;spera,Viene prima ciò che mai si spera
194,194,IM porta N tela B oratori O scie NTI fico,Importante;laboratorio;scientifico,Importante laboratorio scientifico
195,195,TI polo scope D I nato,Tipo;losco;pedinato,Tipo losco pedinato
196,196,BE van da Bolle NTE,Bevanda;bollente,Bevanda bollente
197,197,colle G aironi C A,Collega;ironica,Collega ironica
198,198,S Era teca R N ascia L esche,Serate;carnascialesche,Serate carnascialesche
199,199,T estive di CI,Testi;vedici,Testi vedici
200,200,COM porta mento ST R ava G ante,Comportamento;stravagante,Comportamento stravagante
201,201,tra UM avi S su TO,Trauma;vissuto,Trauma vissuto
202,202,averla LUN ape RT RA verso,Aver;la;luna;per;traverso,Aver la luna per traverso
203,203,mi S U reo PP oste,Misure;opposte,Misure opposte
204,204,L un gas il la BA,Lunga;sillaba,Lunga sillaba
205,205,UN gomito lobi A N coda RI C amo,Un;gomitolo;bianco;da;ricamo,Un gomitolo bianco da ricamo
206,206,F arse G nidi N tesa,Far;segni;d;intesa,Far segni d'intesa
207,207,indici BI L idolo RI,Indicibili;dolori,Indicibili dolori
208,208,G arenata tori E,Gare;natatoriali,Gare natatoriali
209,209,S orse G giare unta M ari N DO,Sorseggiare;un;tamarindo,Sorseggiare un tamarindo
210,210,A vere UNP arti cola R E CA risma,Avere;un;particolare;carisma,Avere un particolare carisma
211,211,F onde re PO cometa LLO,Fondere;poco;metallo,Fondere poco metallo
212,212,in D IS postini PO tini,Indisposti;nipotini,Indisposti nipotini
213,213,P re Di re sci A GU re,Predire;sciagure,Predire sciagure
214,214,ATT ratti veri mine SI,Attrattivi;rimenisi,Attrattivi rimenisi
215,215,G R ossa V ali G I achei NG ombra,Grossa;valigia;che;ingombra,Grossa valigia che ingombra
216,216,L oca N dadi F orme NT Era,Locanda;di;formentera,Locanda di formentera
217,217,A verme M ori ala C UN osa,Aver;memoria;lacunosa,Aver memoria lacunosa
218,218,T rema G rete D esche,Tre;magre;tedesche,Tre magre tedesche
219,219,F arca TTI via F fari,Far;cattivi;affari,Far cattivi affari
220,220,est E SE colli nei NF I ore,Esese;colline;in;fiore,Esese colline in fiore
221,221,S E menti nono GM,Sementi;non;ogm,Sementi non ogm
222,222,PR est Ares O CC orso,Prestare;soccorso,Prestare soccorso
223,223,F re mitico L Lerici,Fremiti;collerici,Fremiti collerici
224,224,torri D oca LDO,Torrido;caldo,Torrido caldo
225,225,L avo R Ares P A ventagli netti,Lavorare;spaventa;gl;inetti,Lavorare spaventa gl'inetti
226,226,dive R severi TA,Diversa;verità,Diversa verità
227,227,P rovo C are lira DE L lama D re,Provocare;l;ira;della;madre,Provocare l'ira della madre
228,228,AP Pellico R tesi,Appelli;cortesi,Appelli cortesi
229,229,asse ST arco L pialla T est A,Assestar;colpi;alla;testa,Assestar colpi alla testa
230,230,pia TT ode LL oche F,Piatto;dello;chef,Piatto dello chef
231,231,A fori S madida N nunzio,Aforisma;di;D;Annunzio,Aforisma di D'Annunzio
232,232,AV ance signora TE,Avance;signorate,Avance signorate
233,233,unte S terra TO,Un;test;errato,Un test errato
234,234,T ramo NT ode ST Ate,Tramonto;d;estate,Tramonto d'estate
235,235,ori G in I ari S T ocra tic HE,Origini;aristocratiche,Origini aristocratiche
236,236,P arti T area L madri darsena L,Partita;real;Madrid;Arsenal,Partita real Madrid-Arsenal
237,237,L api dei S tori A TA,Lapide;istoriata,Lapide istoriata
238,238,U N osti RA mento tendine O,Uno;stiramento;tendineo,Uno stiramento tendineo
239,239,DIM ora dimissionario,Dimora;di;missionario,Dimora di missionario
240,240,fa R esca LT remo SSE,Fare;scaltre;mosse,Fare scaltre mosse
241,241,asso LU zio NE peri N Fermi TA menta LE,Assoluzione;per;infermità;mentale,Assoluzione per infermità mentale
242,242,U nano Tiziano NG radi TA,Una;notizia;non;gradita,Una notizia non gradita
243,243,BAL occhiali remi L LE,Balocchi;a;lire;mille,Balocchi a lire mille
244,244,U noce A nodo Ra TO,Un;oceano;dorato,Un oceano dorato
245,245,DI ramarri SP oste,Diramar;risposte,Diramar risposte
246,246,ricetta colo divi pere,Ricettacolo;di;vipere,Ricettacolo di vipere
247,247,barra F FI nato,Bar;raffinato,Bar raffinato
248,248,L api rami D E ali menta RE,La;piramide;alimentare,La piramide alimentare
249,249,CI oche pia CE pia CE,Ciò;che;piace;piace,Ciò che piace piace
250,250,CU cinema CR obi OTI Che,Cucine;macrobiotiche,Cucine macrobiotiche
251,251,rema R occhi N O,Re;marocchino,Re marocchino
252,252,MUS Eolo DI Giano,Museo;lodigiano,Museo lodigiano
253,253,B ambi NO asso N nato,Bambino;assonnato,Bambino assonnato
254,254,PE lima C U lati,Peli;maculati,Peli maculati
255,255,Bambi naso ave,Bambina;soave,Bambina soave
256,256,accetta R U nasse gnomo LT OB asso,Accettar;un;assegno;molto;basso,Accettar un assegno molto basso
257,257,F Ares qui sito,Fare;squisito,Fare squisito
258,258,TRA montone L lava LLE,Tramonto;nella;valle,Tramonto nella valle
259,259,U navi T A peri colo SA,Una;vita;pericolosa,Una vita pericolosa
260,260,tese NZA zucche RO,Te;senza;zucchero,Te senza zucchero
261,261,fa R E la C re si MA,Fare;la;cresima,Fare la cresima
262,262,APP assi T avi O lama MMO la,Appassita;viola;mammola,Appassita viola mammola
263,263,U non da prodi era,Un;onda;prodierea,Un'onda prodierea
264,264,CA vite R mi N ali,Cavi;terminali,Cavi terminali
265,265,fa L comaschi O,Falco;maschio,Falco maschio
266,266,gru C CI ape S ante,Gruccia;pesante,Gruccia pesante
267,267,V I vere pera M Are,Vivere;per;amare,Vivere per amare
268,268,AF fa bilia M I coni,Affabili;amiconi,Affabili amiconi
269,269,pie G are L astro NI dotto NE,Piegare;lastroni;d;tonne,Piegare lastroni d'onne
270,270,di mora rea DAM AN tea,Dimorare;ad;Amsterdam,Dimorare ad Amsterdam
271,271,A gilet IG rotto,Agile;tigrotto,Agile tigrotto
272,272,A bilie ducato RI,Abili;educatori,Abili educatori
273,273,C O piedi mani F E S tini,Copie;di;manifestini,Copie di manifestini
274,274,inca L cola B I leva L ore,Incalcolabile;valore,Incalcolabile valore
275,275,GR osso tacchi N O,Grosso;tacchino,Grosso tacchino
276,276,AL turati BE tana,Altura;tibetana,Altura tibetana
277,277,mina C C epa U rose,Minacce;paurose,Minacce paurose
278,278,leva SIO neri usci T A,L;evasione;riuscita,L'evasione riuscita
279,279,con T arpe CO re,Contar;pecore,Contar pecore
280,280,lama T tina T adipe NT EC oste,La;mattinata;di;Pentecoste,La mattinata di Pentecoste
281,281,colle G A redi versi P unti TR AL oro,Collegare;diversi;punti;tra;loro,Collegare diversi punti tra l'oro
282,282,star N U tir E rum oro S A mente,Starnutire;rumorosamente,Starnutire rumorosamente
283,283,AF fa BI lira G azze,Affabili;ragazze,Affabili ragazze
284,284,RE porta geco L ossa L E,Reportage;colossale,Reportage colossale
285,285,E si lira G azze TTE,Esili;ragazzette,Esili ragazzette
286,286,Pi ramo ET isbe,Piramo;e;Tisbe,Piramo e Tisbe
287,287,RI corda remo Z ioni D A more,Ricordare;mozioni;d;amore,Ricordare mozioni d'amore
288,288,VI N coli colo N I ali,Vincoli;coloniali,Vincoli coloniali
289,289,barbiere G ala TA,Barbie;regalata,Barbie regalata
290,290,C anta R epa R L ami D amo rema RIU,Cantare;Parlam;i;Damor;Mariù,"Cantare ""Parlam i' Damor Mariù"""
291,291,L Oglio pere NNE,Loglio;perenne,Loglio perenne
292,292,su C C U lenti mani C A R etti,Succulenti;manicaretti,Succulenti manicaretti
293,293,U topi amo D est A,Utopia;modesta,Utopia modesta
294,294,SM ante L la rema C china RI,Smantellare;macchinari,Smantellare macchinari
295,295,TA ree redi T ari E,Tare;ereditarie,Tare ereditarie
296,296,F O cola redo M est ICO,Focolare;domestico,Focolare domestico
297,297,M anca T ori S petto,Mancato;rispetto,Mancato rispetto
298,298,F I eroi dea LE,Fiero;ideale,Fiero ideale
299,299,ES porta TO redi V in I,Esportatore;di;vini,Esportatore di vini
300,300,visi T E gradi T E,Visite;gradite,Visite gradite
301,301,in chiostro copia Ti VO,Inchiostro;copiativo,Inchiostro copiativo
302,302,MAN giara S para GI,Mangiar;asparagi,Mangiar asparagi
303,303,P oli TI chef AL lime N T ari,Politiche;fallimentari,Politiche fallimentari
304,304,DA remo LT oca L ore,Dare;molto;calore,Dare molto calore
305,305,facce N destra M pala TE,Faccende;strampalate,Faccende strampalate
306,306,CA sedia via NO,Case;di;Aviano,Case di Aviano
307,307,L agente ON est A D orme SE rena,La;gente;onesta;dorme;serena,La gente onesta dorme serena
308,308,PIU madia LZ avola,Piuma;di;alzavola,Piuma di alzavola
309,309,porta E re IAM erica NA,Portaerei;americana,Portaerei americana
310,310,re S T adipe Scevola NTE,Resta;di;pesce;volante,Resta di pesce volante
311,311,tende A FI ora MI,Tende;a;fiorami,Tende a fiorami
312,312,ES serpe NS osa,Esser;pensosa,Esser pensosa
313,313,cani C O lama T TU tina,Canicola;mattutina,Canicola mattutina
314,314,C redi BI lega R ante,Credibilit;garante,Credibilit garante
315,315,DO mina rei N G ara,Dominare;in;gara,Dominare in gara
316,316,B ambi nodi S C O laccio,Bambino;discolaccio,Bambino discolaccio
317,317,SC avide P oche remo TE,Scavi;d;epoche;remote,Scavi d'epoche remote
318,318,UO mostra MP alato,Uomo;strampalato,Uomo strampalato
319,319,S Graz IA topo RTA mento,Sgrazia;portamento,Sgrazia portamento
320,320,B A le strade L lama C china,Balestra;della;macchina,Balestra della macchina
321,321,AL lama M mare G ali A mola M ore,Alla;mamma;regaliamo;l;amore,Alla mamma regaliamo l'amore
322,322,con C edere favo RI,Concedere;favori,Concedere favori
323,323,M E scola rei M P Asti,Mescolare;impasti,Mescolare impasti
324,324,RA C conti dive RN E,Racconti;di;Verne,Racconti di Verne
325,325,raggi UN gerla NT arti DE,Raggiunger;l;antartide,Raggiunger l'antartide
326,326,prete N denti A L lama nodi U N ara G azza,Pretendenti;alla;mano;di;una;ragazza,Pretendenti alla mano di una ragazza
327,327,arti S T amo L tori CH I est O,Artista;molto;richiesto,Artista molto richiesto
328,328,S T rade conti GU E,Strade;contigue,Strade contigue
329,329,B U stadi cori A N D oli,Busta;di;coriandoli,Busta di coriandoli
330,330,RI corda R Eneide TT agli,Ricordare;nei;dettagli,Ricordare nei dettagli
331,331,UN osti L est R ava G ante,Uno;stile;stravagante,Uno stile stravagante
332,332,RU moro S oca rose L L O,Rumoroso;carosello,Rumoroso carosello
333,333,U nari S orsa F onda menta LE,Una;risorsa;fondamentale,Una risorsa fondamentale
334,334,C A mici ali S A,Camicia;lisa,Camicia lisa
335,335,M odi dive ST I re,Modi;di;vestire,Modi di vestire
336,336,re S I due re MO re,Residue;remore,Residue remore
337,337,T olle RA remo L E stie,Tollerare;molestie,Tollerare molestie
338,338,COR sedia U tomo BI lista,Corse;di;automobilista,Corse di automobilista
339,339,E re moro manti C O,Eremo;romantico,Eremo romantico
340,340,unti pope R I colo SO,Un;tipo;pericoloso,Un tipo pericoloso
341,341,GIO via limone LLI,Gioviali;monelli,Gioviali monelli
342,342,U nano MI nano nido NEA,Una;nomina;non;idonea,Una nomina non idonea
343,343,A S son nate non nette,Assonnate;nonnette,Assonnate nonnette
344,344,I sola eco logica,Isola;ecologica,Isola ecologica
345,345,sonde G nidi ST I maglio N est I,Son;degni;di;stima;gli;onesti,Son degni di stima gli onesti
346,346,U nave C chiama D re,Una;vecchia;madre,Una vecchia madre
347,347,tuba redi Colombo,Tubare;di;Colombo,Tubare di Colombo
348,348,S ore LL amo LT ocarina,Sorella;molto;carina,Sorella molto carina
349,349,BOC cuccia R ossa,Boccuccia;rossa,Boccuccia rossa
350,350,Roma N Z ila C rime V oli,Romanzi;lacrimevoli,Romanzi lacrimevoli
351,351,L A coni coni P O tino,Laconico;nipotino,Laconico nipotino
352,352,F IS sardi retti V E,Fissar;direttive,Fissar direttive
353,353,F RA cori Gina LE,Frac;originale,Frac originale
354,354,sci OPE rose T tori ALE,Sciopero;settoriale,Sciopero settoriale
355,355,su O Leda RI para RE,Suole;da;riparare,Suole da riparare
356,356,BO scodella SI ami N ore,Bosco;dell;Asia;minore,Bosco dell'Asia minore
357,357,ala N oche A B baia,Alano;che;abbaia,Alano che abbaia
358,358,AR gente RI ape S ante,Argenteria;pesante,Argenteria pesante
359,359,ago NI S mosca TE nato,Agonismo;scatenato,Agonismo scatenato
360,360,Q U arti E remi LI T are,Quartiere;militare,Quartiere militare
361,361,G est I conci LI A tori,Gesti;conciliatori,Gesti conciliatori
362,362,D avi desco N fisse G oli A,Davide;sconfigse;Golia,Davide sconfigse Golia
363,363,E S tre mori B asso,Estremo;ribasso,Estremo ribasso
364,364,divo R zia T iris P osa TI,Divorziati;risposati,Divorziati risposati
365,365,golfi noce leste,Golfino;celeste,Golfino celeste
366,366,I frate L libro N Z etti,I;fratelli;Bonzetti,I fratelli Bonzetti
367,367,F avolo sai M P re SA,Favolosa;impresa,Favolosa impresa
368,368,CH ila V ora sud A,Chi;lavora;sudà,Chi lavora sudà
369,369,L Ebe L Lete D esche,Le;belle;tedesche,Le belle tedesche
370,370,dive R S Eros E,Diverse;rose,Diverse rose
