,word_guesses,first_pass,solution_words,solution
192,avi;ami;retti;agente,F avi T ami SE retti LT agente,Fa;vita;mische;retti;lente,Fa vita mische retti lente
193,con;gru;tali,"con gru I VI, tali ZI",Congrui;vitalizi,Congrui vitalizi
194,mas;noci;giara,mas S A noci L giara,Massano;ciciliera,Massano ciciliera
195,lesto;ali,QUO lesto C I ali,Quole;stoccai,Quole stoccai
196,stia;la;menti,VA stia L la GA menti,Vasti;alagamenti,Vasti alagamenti
197,trave;arca;pie;tesi,AT trave RS arca M pie S tesi,Attraversar;Campi;estesi,Attraversar Campi estesi
198,mi;cavi;oca,A mi cavi R T oca,Amica;virtosa,Amica virtosa
199,redo;in;lenza,AG redo N in DO lenza,Agre;don;indolenza,Agre don indolenza
200,sci;arsi;cappa;etto,L A sci arsi S cappa R D etto,Lasciarsi;scappare;detto,Lasciarsi scappare detto
201,ambi;Era;nato,ambi EN T Era FFI nato,Ambiente;raffinato,Ambiente raffinato
202,Faust;are;re;yes,AF Faust N C are SP re S yes,Affastan;respessee,Affastan respessee
203,sotto;mare;narcotico,RI sotto mare narcotico,Risonto;mare;narcotico,Risonto mare narcotico
204,fa;manto;petto;orca;rete,fa manto SI petto BAS orca STA rete I,Famanto;sippetto;baso;scarate;tieri,Famanto sippetto baso scarate tieri
205,maschera;tra,maschera GIS tra T O,Mase;ragistrato,Mase ragistrato
206,asse;oche;oli;coperte,asse N S oche F oli A coperte,Assenso;che;fo;lacoperte,Assenso che fo lacoperte
207,in;astrologo,in C astrologo RO,Incastro;logoro,Incastro logoro
208,uovo;medio,N uovo NO medio,Nuovo;nomodesto,Nuovo nomodesto
209,con;Tata;letto;ira,S con Tata S letto DI ira,Scontata;stolta;di;ira,Scontata stolta di ira
210,in;teso,in teso RI,Inteseo;riri,Inteseo riri
211,lisca;nati,FOL lisca T E nati,Folli;scatenati,Folli scatenati
212,Medi;alati,CO M Medi alati NA,Commedia;latina,Commedia latina
213,asce;lama;sci,V asce L lama L GA sci,Vascella;malagasi,Vascella malagasi
214,si;redo;tenda,si G NO redo S tenda,Signore;d;Ostenda,Signore d'Ostenda
215,lari;dadi,lari CO dadi E CI,Larico;da;ideci,Larico da ideci
216,assegnati;gale;tori,ROT assegnati G gale tori E,Rotas;segnaglegate,Rotas segnaggate
217,la;mente;la;tasca,la mente la tasca,Lamentela;tasca,Lamentela tasca
218,onda;remo;stia,N onda remo L E stia,Non;dare;molestia,Non dare molestia
219,conte;tiglio,conte M tiglio RMA,Contemtiglio;romma,Contemtiglio romma
220,sole;tre;mansueti,I sole tre mansueti,Isole;tremanti,Isole tremanti
221,lapis;tinto,lapis TOL tinto C A,La;pistola;tintoca,La pistola tintoca
222,ali;di;mosca,V I ali di mosca,Viali;di;mosca,Viali di mosca
223,ante;dita;bar,C H ante U S E dita bar IN,Chanteuse;di;tabarin,Chanteuse di tabarin
224,ave;vane;nipote,ave R vane nipote RI,Aver;vane;nipoteri,Aver vane nipoteri
225,gomito;di;Eni,gomito TO di Eni O,Gomitoto;di;enio,Gomitoto di enio
226,re;tute;data,re N tute Q U I data,Renutte;quiuidata,Renutte quiuidata
227,lichene;rie;orsa;in,CHE lichene rie B orsa L in O,Chele;chene;r;ierborsa,Chele chene r ierborsa
228,mais;olive,LA mais V olive,Lama;soviolve,Lama soviolve
229,Barca;torero;mani,Barca torero mani S T A,Bar;catoreo;romanista,Bar catoreo romanista
230,di;osa,TO S di ZZ osa,Tossi;dizzosa,Tossi dizzosa
231,orti;Ero;mani,P orti ER Ero mani STA,Portiere;romanista,Portiere romanista
232,unte;rose;mento,unte N E rose N T I mento,Un;tenere;sentimento,Un tenere sentimento
233,eco;dardi;petto;vere;mais;carro;re;don;re,eco dardi petto vere mais carro re don a re,E;cordar;d;ipto;v;era;miscaro;redonare,E cordar d'ipto viera miscaro redonare
234,modella;Eros;cola,RA modella LB Eros E cola RE,Rame;dell;abiore;secolare,Rame dell'abiore secolare
235,ritto;ria;ore;oli,SC ritto ria U T ore V oli,Scrittori;autorevoli,Scrittori autorevoli
236,tasca;are,LA tasca S S are,Latasca;sasser,Latasca sasser
237,nave;chiama;rade;re,U nave C chiama NI E rade MA re,Una;vecchia;maniera;d;amare,Una vecchia maniera d'amare
238,pere;peri;re,O pere IM peri TU re,Opere;impietuture,Opere impietuture
239,fra;ori;mora,fra ori mora,Frano;rimora,Frano rimora
240,are;tetri;tino,P are N tetri ES tino,Parenti;restinoto,Parenti restinoto
241,ala;ori;sai;tesa,UN ala B ori O sai N tesa,Una;laboriosa;intendente,Una laboriosa intendente
242,ape;navi;lana,UN ape RSO navi L lana,Una;persona;violana,Una persona violana
243,re;Iside;agli,P re C Iside TT agli,Precisi;dettagli,Precisi dettagli
244,Eros;ava;eco,N Eros P ava L eco,Nero;spavaleco,Nero spavaleco
245,riccio;polo,G riccio polo NI,Gir;cicopoloni,Gir cicopoloni
246,ancia;pia,P ancia pia TTA,Panci;piatta,Panci piatta
247,fa;anello;pera,fa Z Z anello pera RE,Fazzane;lore;perare,Fazzane lore' perare
248,Pi;Cipro;sedia;ante,Pi L Cipro ME S sedia M ante,Plici;promessi;ed;amante,Plici promessi ed amante
249,rive;rei;ore,rive L A rei N G ore,Rivelare;ingore,Rivelare ingore
250,ali;Ionio;oste,CO ali Z Ionio PP oste,Coalizione;opposta,Coalizione opposta
251,pedale;osso;nata,COP pedale ATI osso N nata,Cope;d;aleatio;s;onnata,Cope d'aleatio s'onnata
252,Atene;orata,S Atene C orata,Sate;necorata,Sate necorata
253,madie;vasi,FO R madie vasi O N E,Forma;di;evasione,Forma di evasione
254,onda;tino;navi,C onda NNA tino navi T A,Condannati;non;a;vita,Condannati non a vita
255,chiesa;do;esche,VEC chiesa do C I N esche,Vecchie;sadocinese,Vecchie sadocinese
256,spagnoli;odi;ali,spagnoli R odi T ali A,Spa;noli;r;oditia,Spa noli r'oditia
257,fa;clown;leggio,fa clown leggio,Fac;l;onleggio,Fac l'onleggio
258,tesi;Ati,tesi F I C Ati,Tesi;fisicati,Tesi fisicati
259,anitre;mi,ST R anitre mi TI,Strani;tremiti,Strani tremiti
260,cima;tini;re,VO cima T tini E re,Vocì;mattiniere,Vocì mattiniere
261,belve;trio;Dioniso,belve L O trio Dioniso LO,Bel;velo;triodionisso,Bel velo triodionisso
262,cola;esca;nate,S cola R esca T E nate,Scolare;scatenate,Scolare scatenate
263,rose;tasto;ile,rose S T tasto R G H ile,Rosstasto;riggile,Rosstasto riggile
264,Eva;Degas;Ate,B Eva N Degas S Ate,Bevande;gassate,Bevande gassate
265,ali;sacchi;lance,"STR, ali sacchi GAN, lance",Stralias;ca;chignan,Stralias ca chignan
266,arma;rete;lente,B arma rete I VA lente,Barmar;rete;ivale,Barmar rete ivale
267,Po,AP Po d'Isacco RDO,Appodisca;corrado,Appodisca corrado
268,mese;mici;cola,LA mese mici R cola R I,Lame;semicicoliarari,Lame semicicoliarari
269,in;vasi;rosi,in vasi ONE rosi NI,Invasioni;e;rossini,Invasioni e' rossini
270,mani;Adige;lato,mani Adige lato,Mania;di;gelato,Mania di gelato
271,nonno;redi;versi,nonno T A redi versi TA,Non;otare;diversiata,Non otare diversiata
272,dadi;nata,C O dadi ME nata,Coda;dimenata,Coda dimenata
273,torta;madia;cani,TRI torta madia F R I cani,Trito;ta;madia;fricani,Trito ta madia fricani
274,nero;di,CA nero SAN di,Canero;sandomedi,Canero sandomedi
275,dio;corso;eco,dio corso Z T eco,Di;orso;trotto,Di orso trotto
276,pelli;lana;ali,pelli CO lana T ali ZI A,Pellicola;natatizia,Pellicola natatizia
277,matto;ila;Era,matto R ila C Era NO,M;attori;lacerano,M attori lacerano
278,di;rame,di rame N,Dir;amen,Dir amen
279,in;Po;Lecco,UN in S Po Lecco DO,Un;insolente;codò,Un insolente codò
280,re;api;Europa,re G api L Europa N,Regap;il;Europa,Regap il' Europa
281,pia;aratro;come,pia N T aratro come R I,Piatar,Piatar atrocomeri
282,Rodi;rime;Eva,Rodi ST rime DI Eva LI,Rodistri;medievali,Rodistri medievali
283,rovo;data;Po;menti,P rovo data M Po N A menti,Provadati;ammonenti,Provadati ammonenti
284,rive;tini,SO B rive STI tini,Sobri;vestitini,Sobri vestitini
285,preti;avi,preti D avi T A,Pretida;vita,Pretida vita
286,orsa;pica;aglio;coli,C orsa IP pica aglio S T A coli,Corsa;ippica;agli;ostacoli,Corsa ippica agli ostacoli
287,ile;nata,OD ile RTU nata,Odilertu;unanata,Odilertu unanata
288,mi;eco;ode;tori,mi L eco LM ode S tori ST,Mieleco;molto;d;est;ori,Mieleco molto d'est ori
289,barile;Cita;sci;di,barile Cita sci di,Barile;cistadì,Barile cistadì
290,timo;la;tea;mento,S timo la N tea R GO mento,Stimolante;argomento,Stimolante argomento
291,accetta;icona;dita,RIM accetta RS icona VI dita,Rimaccettar;si;conducita,Rimaccettar si conducita
292,su;nome;di,su O nome LO di OSO,Suono;melodioso,Suono melodioso
293,data;nei;squalo,data ZI O nei S squalo,Datazione;insqualo,Datazione insqualo
294,vino;tino;reo,DI vino TA tino E reo,Divi;notati;noe;reo,Divi notati noe' reo
295,avi;mento;ala;re,P avi mento D ala V A re,Pavimenti;da;lavare,Pavimenti da lavare
296,Ares;vere,G Ares E vere,Gare;severe,Gare severe
297,in;operi;mici,in VI T operi mici,Invito;per;mici,Invito per mici
298,conte;ovali,conte GGI ovali D O,Conteggio;valido,Conteggio valido
299,nasse;gnomo;est,U nasse gnomo D est O,Un;assaggio;modesto,Un assaggio modesto
300,Reno;Odino;ara,B Reno T Odino V ara,Bre;noto;di;novara,Bre noto di novara
301,ore;riti;nata,F ore ST riti RMI nata,Forestro;tirriminata,Forestro tirriminata
302,narice;neve,AN narice neve RO,Annar;in;c;evero,Annar in cevero
303,anca;re;fa;re;re,anca M O re fa C re S CE re,A;cambo;re;faccere,A' cambo re faccere
304,prono;tute,S prono tute A,Spronota;t;utea,Spronota t'utea
305,atrio;casetta,P atrio TTI casetta,Patoriotto;cassetta,Patoriotto cassetta
306,colletti;Itaca;lana,colletti V Itaca T A lana,Collettività;catanana,Collettività catanana
307,azza;menti;ore;oli,PI azza menti O N ore V oli,Piazzamente;onorevoli,Piazzamente onorevoli
308,olla;redi;ami,B olla redi N F ami A,Bollare;d;infamia,Bollare d'infamia
309,antico;letto,C antico letto,Cantico;letto,Cantico letto
310,tea;navi,tea SO navi L E,Tesona;vile,Tesona vile
311,munizioni;tele;Ade,E munizioni N tele Ade R,Emunizioni;nteleader,Emunizioni nteleader
312,nere;lame,T E nere lame D IA,Tenere;la;media,Tenere la media
313,nave;gazze,ST nave gazze T TO,Stnave;gazzetto,Stnave gazzetto
314,arti;chef;diga;zio,arti ST I chef OL diga zio NI,Artistiche;foldigazioni,Artistiche foldigazioni
